,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
49,ASTS,"AST SpaceMobile, Inc.",,23.39 +1.00 (+4.47%),1.0,+4.47%,6.135M,12.537M,7.403B,-,946.26%,
50,LDSCY,Land Securities Group Plc,,7.72 +0.33 (+4.47%),0.33,+4.47%,27178,88759,5.751B,40.63,-15.45%,
51,TLK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,,15.29 +0.65 (+4.44%),0.65,+4.44%,635463,793813,15.246B,11.24,-25.95%,
52,VEON,VEON Ltd.,,44.32 +1.86 (+4.38%),1.86,+4.38%,115270,126613,3.131B,8.32,81.22%,
53,HCC,"Warrior Met Coal, Inc.",,49.35 +2.07 (+4.38%),2.07,+4.38%,853576,989295,2.594B,10.30,-28.53%,
54,ASND,Ascendis Pharma A/S,,165.05 +6.90 (+4.36%),6.9,+4.36%,626295,506003,9.924B,-,12.25%,
55,CLS,Celestica Inc.,,84.04 +3.48 (+4.32%),3.48,+4.32%,5.271M,5.531M,9.745B,23.28,83.88%,
56,TSEM,Tower Semiconductor Ltd.,,35.47 +1.45 (+4.26%),1.45,+4.26%,884249,822650,3.964B,19.17,9.21%,
57,ELAN,Elanco Animal Health Incorporated,,8.44 +0.34 (+4.20%),0.34,+4.20%,4.29M,5.108M,4.19B,12.41,-40.31%,
58,CAMT,Camtek Ltd.,,60.37 +2.42 (+4.18%),2.42,+4.18%,334006,560900,2.753B,24.95,-26.80%,
59,DG,Dollar General Corporation,,93.07 +3.71 (+4.15%),3.71,+4.15%,4.167M,4.356M,20.47B,18.21,-38.66%,
60,NKE,"NIKE, Inc.",,55.76 +2.21 (+4.13%),2.21,+4.13%,18.882M,19.326M,82.301B,18.52,-44.07%,
61,PTEN,"Patterson-UTI Energy, Inc.",,6.07 +0.24 (+4.12%),0.24,+4.12%,18.576M,11.546M,2.343B,-,-48.59%,
62,SM,SM Energy Company,,23.03 +0.91 (+4.11%),0.91,+4.11%,2.061M,2.451M,2.636B,3.45,-53.54%,
63,TREX,"Trex Company, Inc.",,55.61 +2.19 (+4.10%),2.19,+4.10%,1.699M,1.796M,5.963B,26.61,-39.26%,
64,AUR,"Aurora Innovation, Inc.",,6.11 +0.24 (+4.09%),0.24,+4.09%,14.703M,14.065M,10.796B,-,108.90%,
65,STX,Seagate Technology Holdings plc,,75.78 +2.96 (+4.06%),2.96,+4.06%,4.535M,3.846M,16.043B,13.78,-12.73%,
66,HDB,HDFC Bank Limited,,72.04 +2.78 (+4.01%),2.78,+4.01%,5.53M,3.059M,183.755B,23.09,20.70%,
67,ANGPY,Anglo American Platinum Limited,,6.74 +0.26 (+4.01%),0.26,+4.01%,31117,137863,10.733B,28.08,-6.76%,
68,ODFL,"Old Dominion Freight Line, Inc.",,153.75 +5.90 (+3.99%),5.9,+3.99%,1.454M,1.929M,32.679B,28.01,-28.86%,
69,NOV,NOV Inc.,,12.53 +0.48 (+3.98%),0.48,+3.98%,3.188M,4.957M,4.745B,7.83,-34.86%,
70,CHRD,Chord Energy Corporation,,94.43 +3.59 (+3.95%),3.59,+3.95%,754392,993419,5.618B,5.89,-49.15%,
71,SMNEY,Siemens Energy AG,,72.97 +2.77 (+3.95%),2.77,+3.95%,55804,373013,57.661B,-,269.08%,
